geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
16000US1751336,"Muncie, IL",115,40,115,40,111,40,0,12,0,12,0,12,0,12,0,12,4,9,0,12,4,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1751349,"Mundelein, IL",31596,78,21093,967,16479,965,423,265,116,109,3364,576,66,76,142,99,503,197,122,95,381,166,10503,955,5021,808,6,10,91,81,27,31,0,25,2698,713,2660,1158,2584,1136,76,78
16000US1751453,"Murphysboro, IL",7270,325,6642,475,5214,512,1100,352,0,17,22,33,0,17,11,18,295,160,30,49,265,154,628,295,49,42,0,17,0,17,0,17,0,17,569,302,10,20,10,20,0,17
16000US1751479,"Murrayville, IL",626,124,624,125,590,118,10,16,6,10,0,12,0,12,0,12,18,19,0,12,18,19,2,5,2,5,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1751544,"Nachusa, IL",163,93,157,93,133,85,2,4,0,12,0,12,0,12,0,12,22,26,0,12,22,26,6,10,6,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1751622,"Naperville, IL",149013,352,139364,1389,97058,2148,6348,924,189,116,30655,1607,8,11,410,239,4696,705,384,213,4312,692,9649,1405,5446,1053,53,40,90,77,0,28,0,28,1185,333,2875,890,2669,900,206,119
16000US1751648,"Naplate, IL",443,88,400,84,390,81,0,12,0,12,0,12,0,12,0,12,10,9,0,12,10,9,43,25,25,20,0,12,0,12,0,12,3,5,7,8,8,10,8,10,0,12
16000US1751661,"Naples, IL",126,54,115,53,104,42,0,12,0,12,0,12,0,12,0,12,11,20,0,12,11,20,11,14,11,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1751700,"Nashville, IL",3108,103,3104,103,3074,108,25,24,0,12,5,11,0,12,0,12,0,12,0,12,0,12,4,6,3,6,0,12,0,12,0,12,0,12,0,12,1,3,1,3,0,12
16000US1751726,"Nason, IL",207,52,207,52,204,52,0,12,0,12,0,12,0,12,0,12,3,5,2,3,1,3,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1751791,"Nauvoo, IL",876,168,872,168,846,171,14,18,0,12,10,12,0,12,0,12,2,3,0,12,2,3,4,10,0,12,0,12,0,12,0,12,0,12,0,12,4,10,4,10,0,12
