STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
IL|17|57407|02399616|Palos Park village|INCORPORATED PLACE|C1|A|Cook County
IL|17|57472|02396135|Pana city|INCORPORATED PLACE|C1|A|Christian County~~~Shelby County
IL|17|57498|02399617|Panama village|INCORPORATED PLACE|C1|A|Bond County~~~Montgomery County
IL|17|57524|02399620|Panola village|INCORPORATED PLACE|C1|A|Woodford County
IL|17|57576|02399621|Papineau village|INCORPORATED PLACE|C1|A|Iroquois County
IL|17|57628|02396141|Paris city|INCORPORATED PLACE|C1|A|Edgar County
IL|17|57654|02396144|Park City city|INCORPORATED PLACE|C1|A|Lake County
IL|17|57693|02399624|Parkersburg village|INCORPORATED PLACE|C1|A|Richland County
IL|17|57732|02399622|Park Forest village|INCORPORATED PLACE|C1|A|Cook County~~~Will County
IL|17|57875|02396148|Park Ridge city|INCORPORATED PLACE|C1|A|Cook County
IL|17|58057|02399630|Patoka village|INCORPORATED PLACE|C1|A|Marion County
IL|17|58174|02399635|Pawnee village|INCORPORATED PLACE|C1|A|Sangamon County
IL|17|58226|02399633|Paw Paw village|INCORPORATED PLACE|C1|A|Lee County
IL|17|58239|02396167|Paxton city|INCORPORATED PLACE|C1|A|Ford County
IL|17|58265|02399639|Payson village|INCORPORATED PLACE|C1|A|Adams County
IL|17|58343|02399640|Pearl village|INCORPORATED PLACE|C1|A|Pike County
IL|17|58369|02399641|Pearl City village|INCORPORATED PLACE|C1|A|Stephenson County
IL|17|58408|02399642|Pecatonica village|INCORPORATED PLACE|C1|A|Winnebago County
IL|17|58447|02396172|Pekin city|INCORPORATED PLACE|C1|A|Peoria County~~~Tazewell County
IL|17|58577|02628559|Penfield CDP|CENSUS DESIGNATED PLACE|U1|S|Champaign County
IL|17|59000|02396178|Peoria city|INCORPORATED PLACE|C1|A|Peoria County
IL|17|59026|02399652|Peoria Heights village|INCORPORATED PLACE|C1|A|Peoria County~~~Tazewell County
IL|17|59052|02399653|Peotone village|INCORPORATED PLACE|C1|A|Will County
IL|17|59104|02399654|Percy village|INCORPORATED PLACE|C1|A|Randolph County
IL|17|59156|02399656|Perry village|INCORPORATED PLACE|C1|A|Pike County
IL|17|59234|02396189|Peru city|INCORPORATED PLACE|C1|A|Bureau County~~~LaSalle County
IL|17|59273|02399658|Pesotum village|INCORPORATED PLACE|C1|A|Champaign County
IL|17|59312|02396193|Petersburg city|INCORPORATED PLACE|C1|A|Menard County
IL|17|59520|02399664|Phillipstown village|INCORPORATED PLACE|C1|A|White County
IL|17|59533|02399666|Philo village|INCORPORATED PLACE|C1|A|Champaign County
IL|17|59572|02399667|Phoenix village|INCORPORATED PLACE|C1|A|Cook County
IL|17|59709|02399670|Pierron village|INCORPORATED PLACE|C1|A|Bond County~~~Madison County
IL|17|59884|02396207|Pinckneyville city|INCORPORATED PLACE|C1|A|Perry County
IL|17|59988|02399676|Pingree Grove village|INCORPORATED PLACE|C1|A|Kane County
